benchmark,trial,size,latency_us
osu-micro-ucc,1,4,47.12
osu-micro-ucc,1,8,47.28
osu-micro-ucc,1,16,40.75
osu-micro-ucc,1,32,47.35
osu-micro-ucc,1,64,59.65
osu-micro-ucc,1,128,83.45
osu-micro-ucc,1,256,58.48
osu-micro-ucc,1,512,65.21
osu-micro-ucc,1,1024,87.68
osu-micro-ucc,1,2048,75.11
osu-micro-ucc,1,4096,161.68
osu-micro-ucc,1,8192,140.25
osu-micro-ucc,1,16384,123.71
osu-micro-ucc,1,32768,126.47
osu-micro-ucc,1,65536,126.93
osu-micro-ucc,1,131072,133.06
osu-micro-ucc,1,262144,131.38
osu-micro-ucc,1,524288,134.58
osu-micro-ucc,1,1048576,141.05
osu-micro-ucc,1,2097152,154.75
osu-micro-ucc,1,4194304,179.91
osu-micro-ucc,1,8388608,224.61
osu-micro-ucc,1,16777216,320.61
osu-micro-ucc,1,33554432,500.87
osu-micro-ucc,1,67108864,888.72
osu-micro-ucc,2,4,47.13
osu-micro-ucc,2,8,47.72
osu-micro-ucc,2,16,42.38
osu-micro-ucc,2,32,47.47
osu-micro-ucc,2,64,59.81
osu-micro-ucc,2,128,83.77
osu-micro-ucc,2,256,58.9
osu-micro-ucc,2,512,63.56
osu-micro-ucc,2,1024,87.27
osu-micro-ucc,2,2048,75.92
osu-micro-ucc,2,4096,168.95
osu-micro-ucc,2,8192,149.55
osu-micro-ucc,2,16384,124.58
osu-micro-ucc,2,32768,129.15
osu-micro-ucc,2,65536,127.12
osu-micro-ucc,2,131072,128.0
osu-micro-ucc,2,262144,130.04
osu-micro-ucc,2,524288,134.35
osu-micro-ucc,2,1048576,141.12
osu-micro-ucc,2,2097152,154.93
osu-micro-ucc,2,4194304,178.68
osu-micro-ucc,2,8388608,222.86
osu-micro-ucc,2,16777216,324.2
osu-micro-ucc,2,33554432,520.2
osu-micro-ucc,2,67108864,897.06
osu-micro-ucc,3,4,47.63
osu-micro-ucc,3,8,47.45
osu-micro-ucc,3,16,41.22
osu-micro-ucc,3,32,47.72
osu-micro-ucc,3,64,60.44
osu-micro-ucc,3,128,85.08
osu-micro-ucc,3,256,61.69
osu-micro-ucc,3,512,67.95
osu-micro-ucc,3,1024,92.14
osu-micro-ucc,3,2048,76.26
osu-micro-ucc,3,4096,177.97
osu-micro-ucc,3,8192,146.89
osu-micro-ucc,3,16384,125.3
osu-micro-ucc,3,32768,127.44
osu-micro-ucc,3,65536,127.82
osu-micro-ucc,3,131072,135.98
osu-micro-ucc,3,262144,130.5
osu-micro-ucc,3,524288,136.31
osu-micro-ucc,3,1048576,140.87
osu-micro-ucc,3,2097152,155.65
osu-micro-ucc,3,4194304,180.18
osu-micro-ucc,3,8388608,226.78
osu-micro-ucc,3,16777216,314.29
osu-micro-ucc,3,33554432,506.8
osu-micro-ucc,3,67108864,908.73
osu-micro-nccl,1,4,33.29
osu-micro-nccl,1,8,33.33
